iter	MultiClass
129	0.1609771598
130	0.1604280378
131	0.1601261042
132	0.1598973573
133	0.1596207376
134	0.1591312163
135	0.1587238824
136	0.1582470902
137	0.1580387564
138	0.1576406409
139	0.1574273601
140	0.1571797517
141	0.156989506
142	0.1568076737
143	0.1563926128
144	0.1561618954
145	0.1557665531
146	0.1554607314
147	0.1552647315
148	0.1549984681
149	0.1545635044
150	0.1543515184
151	0.1541144243
152	0.1539910837
153	0.1538830793
154	0.1535033268
155	0.1532203751
156	0.1528607972
157	0.1527243556
158	0.1524675383
159	0.1522489749
160	0.15204459
161	0.1518281422
162	0.1516683425
163	0.151456696
164	0.1513693822
165	0.1510788616
166	0.1510076041
167	0.1508764368
168	0.1506940067
169	0.1503908414
170	0.150190103
171	0.1500813718
172	0.1497714101
173	0.1496383412
174	0.1495471787
175	0.1493011108
176	0.1490306884
177	0.1488562036
178	0.1486313781
179	0.1485242939
180	0.1484036372
181	0.1482644858
182	0.148189107
183	0.1479789209
184	0.1478451198
185	0.1476471892
186	0.1475209523
187	0.1473607401
188	0.1472171875
189	0.1471712919
190	0.1470028568
191	0.1469193642
192	0.1467966974
193	0.1466533208
194	0.1465786928
195	0.1464053622
196	0.1462888698
197	0.1461358866
198	0.1459532695
199	0.1457566241
200	0.1456062191
201	0.1455087684
202	0.1453457844
203	0.1452314322
204	0.1451451832
205	0.1450407368
206	0.1449144184
207	0.1446757701
208	0.1445792766
209	0.1444052879
210	0.1442334376
211	0.1441067565
212	0.1440139535
213	0.1438793123
214	0.1438022808
215	0.1437510299
216	0.14358228
217	0.1433846311
218	0.1432504495
219	0.143182099
220	0.1430653161
221	0.1429514332
222	0.1427778907
223	0.1426598193
224	0.1425786426
225	0.1423665243
226	0.1420152161
227	0.1418402224
228	0.1416933382
229	0.1415302419
230	0.1414560033
231	0.1413923048
232	0.1413327919
233	0.1411622857
234	0.1410447869
235	0.1409334815
236	0.1407934243
237	0.1407209771
238	0.1406614951
239	0.140502512
240	0.1403680718
241	0.1402510168
242	0.1401201414
243	0.1399802224
244	0.1398711996
245	0.139833992
246	0.1397784454
247	0.139661631
248	0.1395512536
249	0.1393882548
250	0.1393210067
251	0.1392362061
252	0.1391267898
253	0.1390285849
254	0.1389819788
255	0.1388680107
256	0.138688729
257	0.1385871142
258	0.1385282617
259	0.1384335732
260	0.1383296083
261	0.1381806038
262	0.13806971
263	0.1380176398
264	0.137903096
265	0.1377706396
266	0.1377209918
267	0.1374915616
268	0.1374444431
269	0.1373672563
270	0.1372675132
271	0.13711174
272	0.1370406227
273	0.1369863353
274	0.1369149149
275	0.136830994
276	0.1367587314
277	0.1365489177
278	0.1364864745
279	0.1364285455
280	0.1363525801
281	0.1362671005
282	0.1361647471
283	0.135988642
284	0.1357382807
285	0.1355450752
286	0.1354236952
287	0.1353740764
288	0.1351942732
289	0.135086174
290	0.1349951394
291	0.1349312918
292	0.1348779238
293	0.1348267019
294	0.1347914267
295	0.1347519698
296	0.1346419785
297	0.1345563648
298	0.1344351467
299	0.1343740643
300	0.1343481297
301	0.1342756313
302	0.1342205738
303	0.13410656
304	0.1340275522
305	0.1338139595
306	0.1337246985
307	0.1336724876
308	0.1336057652
309	0.1335435979
310	0.1334832452
311	0.13343579
312	0.133301674
313	0.1331553457
314	0.1331286589
315	0.1330527513
316	0.132962215
317	0.1328280199
318	0.1327715748
319	0.1326657149
320	0.1325654016
321	0.1323787854
322	0.1322865538
323	0.1322546446
324	0.1321346248
325	0.1320681669
326	0.1320215489
327	0.1319166991
328	0.1317805428
329	0.131758998
330	0.1316647732
331	0.1316232627
332	0.1315765672
333	0.1315416121
334	0.1314496925
335	0.1314159437
336	0.1313565576
337	0.1312851057
338	0.1312132962
339	0.1311354975
340	0.1310690588
341	0.1309747505
342	0.1309265817
343	0.1308739838
344	0.1308394568
345	0.1307041923
346	0.130680346
